District,Crop,Soil Type,Rainfall (mm),Temperature (°C),Growing Season (months),Market Demand,Yield (kg/ha),Pest/Disease Issues  
Adilabad,Pigeonpeas,Red Loamy,800,25-35,6,Moderate,1200,Pod Borer
Rangareddy,Pomegranate,Red Sandy Loam,750,20-32,12,High,6000,Fruit Rot
Sangareddy,Watermelon,Red Sandy Loam,750,25-35,3,High,20000,Fruit Fly
Adilabad,Cotton,Black Cotton,850,25-35,6,High,2000,Bollworm
Adilabad,Paddy,Red Sandy Loam,800,25-35,5,High,5000,Blast
Kamareddy,Sugarcane,Red Loamy,800,25-32,12,High,70000,Red Rot
Kamareddy,Maize,Black Cotton,750,25-35,4,Moderate,4500,Stem Borer
Khammam,Chili,Black Cotton,900,25-35,5,High,7500,Thrips
Khammam,Paddy,Red Sandy Loam,950,25-35,5,High,5000,Blast
Mahabubabad,Paddy,Black Cotton,900,25-35,5,High,5000,Blast
Mahabubabad,Cotton,Red Loamy,850,25-35,6,High,2000,Bollworm
Mahabubnagar,Paddy,Black Cotton,750,25-35,5,High,4500,Sheath Rot
Mahabubnagar,Groundnut,Red Sandy Loam,700,25-32,4,Moderate,1400,Leaf Spot
Medak,Paddy,Black Cotton,800,25-35,5,High,4800,Blast
Medak,Papaya,Red Sandy Loam,850,25-35,10,High,18000,Ring Spot
Nagarkurnool,Paddy,Black Cotton,750,25-35,5,High,4500,Sheath Rot
Nagarkurnool,Redgram,Red Sandy Loam,700,25-32,6,Moderate,1200,Pod Borer
Nalgonda,Paddy,Black Cotton,800,25-35,5,High,5500,Blast
Nalgonda,Maize,Red Sandy Loam,750,25-35,4,High,5000,Stem Borer
Narayanpet,Paddy,Black Cotton,700,25-35,5,High,4500,Blast
Narayanpet,Groundnut,Red Sandy Loam,650,25-32,4,Moderate,1400,Leaf Spot
Nirmal,Paddy,Black Cotton,850,25-35,5,High,5000,Blast
Nirmal,Soybean,Red Sandy Loam,800,25-32,4,Moderate,1800,Rust
Siddipet,Paddy,Black Cotton,850,25-35,5,High,5000,Blast
Siddipet,Cotton,Red Sandy Loam,800,25-35,6,High,2000,Bollworm
Vikarabad,Paddy,Black Cotton,750,25-35,5,High,4500,Blast
Vikarabad,Orange,Red Sandy Loam,800,20-32,12,High,12000,Citrus Canker
Wanaparthy,Paddy,Black Cotton,750,25-35,5,High,5000,Blast
Wanaparthy,Maize,Red Sandy Loam,700,25-35,4,Moderate,4500,Fall Armyworm
Warangal,Paddy,Black Cotton,900,25-35,5,High,5500,Blast
Warangal,Cotton,Red Loamy,850,25-35,6,High,2000,Bollworm
Warangal,Redgram,Red Sandy Loam,800,25-35,6,Moderate,1200,Pod Borer
Nizamabad,Bengal Gram,Black Cotton,700,20-28,4,High,1800,Wilt
Adilabad,Bengal Gram,Red Sandy Loam,750,20-30,4,Moderate,1600,Root Rot
Khammam,Chillies,Black Cotton,900,25-35,5,High,7500,Thrips
Warangal,Chillies,Red Loamy,850,25-35,5,High,7000,Anthracnose
Adilabad,Cotton,Black Cotton,850,25-35,6,High,2000,Bollworm
Siddipet,Cotton,Red Sandy Loam,800,25-35,6,High,1900,Pink Bollworm
Mahabubnagar,Groundnut,Red Sandy Loam,700,25-32,4,Moderate,1400,Leaf Spot
Nalgonda,Groundnut,Black Cotton,750,25-35,4,Moderate,1500,Tikka Disease
Nalgonda,Maize,Red Sandy Loam,750,25-35,4,High,5000,Stem Borer
Warangal,Maize,Black Cotton,850,25-35,4,High,4800,Fall Armyworm
Khammam,Paddy,Black Cotton,950,25-35,5,High,5000,Blast
Nirmal,Paddy,Red Sandy Loam,850,25-35,5,High,5200,Sheath Rot
Warangal,Redgram,Red Loamy,800,25-35,6,Moderate,1200,Pod Borer
Mahabubabad,Redgram,Black Cotton,850,25-35,6,Moderate,1100,Sterility Mosaic
