category,Crop,District,CNext,CLast,CTransp,IrriType,IrriSource,ExpYield,Season
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Drip,Canal,12,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Groundwater,11,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Groundwater,12,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Drip,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Sprinkler,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Drip,Groundwater,12,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Groundwater,11,Rabi
Stressed,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Drip,Canal,13,Rabi
Diseased,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Sprinkler,Canal,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Drip,Groundwater,11,Rabi
Pests,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Groundwater,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Drip,Groundwater,12,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Groundwater,12,Rabi
Pests,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Groundwater,13,Rabi
Diseased,Cotton,Adilabad,Sorghum,Maize,Drilling,Drip,Canal,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Drip,Canal,13,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Drip,Canal,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Groundwater,12,Rabi
Stressed,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Groundwater,10,Rabi
Pests,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Sprinkler,Canal,15,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Drip,Groundwater,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Canal,14,Rabi
Stressed,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Drip,Canal,13,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Drip,Groundwater,12,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Drip,Groundwater,13,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Canal,12,Rabi
Pests,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Canal,14,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Groundwater,15,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Canal,15,Rabi
Diseased,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Canal,13,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Canal,12,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Sprinkler,Canal,13,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Drip,Groundwater,13,Rabi
Diseased,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Groundwater,13,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Canal,13,Rabi
Diseased,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Groundwater,12,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Drip,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Drip,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Canal,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Canal,13,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Sprinkler,Groundwater,13,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Canal,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Canal,14,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Sprinkler,Groundwater,11,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Canal,15,Rabi
Diseased,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Drip,Canal,13,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Sprinkler,Groundwater,11,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Sprinkler,Canal,12,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Drip,Canal,12,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Drip,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Sprinkler,Canal,14,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Canal,11,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Drip,Groundwater,13,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Sprinkler,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Sprinkler,Canal,11,Rabi
Stressed,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Sprinkler,Canal,11,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Groundwater,11,Rabi
Stressed,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Sprinkler,Canal,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Canal,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Sprinkler,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Groundwater,13,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Sprinkler,Canal,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Groundwater,15,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Drip,Canal,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Drip,Canal,15,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Canal,12,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Sprinkler,Canal,11,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Sprinkler,Canal,12,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Drip,Canal,13,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Sprinkler,Canal,15,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Canal,12,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Sprinkler,Canal,14,Rabi
Pests,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Groundwater,10,Rabi
Pests,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Groundwater,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Groundwater,12,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Groundwater,12,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Sprinkler,Groundwater,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Drip,Canal,15,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Drip,Canal,12,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Canal,13,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Groundwater,11,Rabi
Stressed,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Sprinkler,Canal,13,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Groundwater,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Canal,15,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Drip,Canal,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Sprinkler,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Canal,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Canal,13,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Sprinkler,Canal,11,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Groundwater,15,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Canal,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Canal,15,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Sprinkler,Canal,10,Rabi
Stressed,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Groundwater,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Sprinkler,Groundwater,13,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Canal,12,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Canal,14,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Sprinkler,Groundwater,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Drip,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Groundwater,15,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Sprinkler,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Sprinkler,Canal,12,Rabi
Pests,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Canal,11,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Drip,Canal,15,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Sprinkler,Canal,13,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Canal,10,Rabi
Pests,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Drip,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Sprinkler,Canal,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Groundwater,11,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Sprinkler,Canal,10,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Canal,14,Rabi
Diseased,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Sprinkler,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Drip,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Groundwater,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Sprinkler,Canal,14,Rabi
Pests,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Sprinkler,Canal,10,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Groundwater,15,Rabi
Stressed,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Canal,12,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Drip,Canal,15,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Groundwater,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Drip,Groundwater,15,Rabi
Stressed,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Canal,13,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Sprinkler,Canal,11,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Groundwater,11,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Groundwater,12,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Canal,11,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Sprinkler,Canal,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Sprinkler,Canal,10,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Sprinkler,Groundwater,13,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Groundwater,15,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Drip,Canal,13,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Canal,14,Rabi
Diseased,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Canal,12,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Drip,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Groundwater,11,Rabi
Pests,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Sprinkler,Groundwater,11,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Sprinkler,Groundwater,11,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Canal,12,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Sprinkler,Canal,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Drip,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Groundwater,13,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Canal,12,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Canal,12,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Drip,Groundwater,13,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Sprinkler,Groundwater,15,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Canal,13,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Canal,11,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Groundwater,12,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Canal,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Groundwater,14,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Broadcasting,Sprinkler,Canal,25,Rabi
Stressed,Maize,Adilabad,Soybean,Wheat,Seed Drilling,Sprinkler,Rainfed,20,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Broadcasting,Drip,Rainfed,24,Rabi
Stressed,Maize,Adilabad,Wheat,Soybean,Drilling,Sprinkler,Groundwater,23,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Drilling,Sprinkler,Canal,22,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Broadcasting,Sprinkler,Groundwater,23,Rabi
Stressed,Maize,Adilabad,Wheat,Soybean,Broadcasting,Sprinkler,Canal,25,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Broadcasting,Drip,Rainfed,21,Rabi
Pests,Maize,Adilabad,Wheat,Soybean,Seed Drilling,Sprinkler,Rainfed,25,Rabi
Stressed,Maize,Adilabad,Soybean,Wheat,Seed Drilling,Drip,Canal,23,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Broadcasting,Sprinkler,Canal,24,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Broadcasting,Sprinkler,Groundwater,23,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Seed Drilling,Sprinkler,Canal,20,Rabi
Diseased,Maize,Adilabad,Wheat,Soybean,Drilling,Sprinkler,Groundwater,23,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Broadcasting,Sprinkler,Rainfed,24,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Broadcasting,Drip,Groundwater,20,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Drilling,Sprinkler,Canal,22,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Seed Drilling,Drip,Canal,20,Rabi
Diseased,Maize,Adilabad,Soybean,Wheat,Seed Drilling,Drip,Groundwater,25,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Drilling,Sprinkler,Groundwater,21,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Broadcasting,Sprinkler,Groundwater,25,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Drilling,Drip,Groundwater,20,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Drilling,Sprinkler,Canal,22,Rabi
Pests,Maize,Adilabad,Soybean,Wheat,Seed Drilling,Sprinkler,Rainfed,23,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Drilling,Drip,Canal,20,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Broadcasting,Sprinkler,Rainfed,25,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Drilling,Sprinkler,Groundwater,20,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Drilling,Drip,Rainfed,20,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Broadcasting,Sprinkler,Groundwater,20,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Broadcasting,Sprinkler,Canal,22,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Drilling,Drip,Rainfed,24,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Drilling,Drip,Groundwater,24,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Seed Drilling,Drip,Rainfed,20,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Broadcasting,Drip,Rainfed,22,Rabi
Diseased,Maize,Adilabad,Soybean,Wheat,Broadcasting,Drip,Canal,22,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Seed Drilling,Drip,Rainfed,20,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Seed Drilling,Drip,Canal,25,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Seed Drilling,Drip,Canal,25,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Seed Drilling,Drip,Rainfed,21,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Drilling,Sprinkler,Rainfed,20,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Seed Drilling,Drip,Canal,21,Rabi
Diseased,Maize,Adilabad,Wheat,Soybean,Broadcasting,Drip,Rainfed,25,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Broadcasting,Sprinkler,Canal,25,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Seed Drilling,Drip,Groundwater,20,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Broadcasting,Sprinkler,Canal,21,Rabi
Pests,Maize,Adilabad,Wheat,Soybean,Seed Drilling,Sprinkler,Rainfed,21,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Seed Drilling,Drip,Groundwater,20,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Seed Drilling,Sprinkler,Groundwater,21,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Broadcasting,Sprinkler,Canal,23,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Drilling,Drip,Canal,25,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Seed Drilling,Drip,Rainfed,24,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Broadcasting,Drip,Groundwater,22,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Broadcasting,Drip,Rainfed,21,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Broadcasting,Drip,Groundwater,21,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Seed Drilling,Drip,Canal,22,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Broadcasting,Sprinkler,Canal,21,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Drilling,Drip,Rainfed,22,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Broadcasting,Drip,Groundwater,20,Rabi
Stressed,Maize,Adilabad,Soybean,Wheat,Seed Drilling,Sprinkler,Rainfed,23,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Drilling,Drip,Groundwater,23,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Seed Drilling,Drip,Rainfed,25,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Drilling,Sprinkler,Canal,24,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Broadcasting,Drip,Rainfed,21,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Broadcasting,Sprinkler,Groundwater,24,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Broadcasting,Drip,Rainfed,20,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Broadcasting,Sprinkler,Canal,23,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Seed Drilling,Sprinkler,Canal,20,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Seed Drilling,Sprinkler,Rainfed,20,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Broadcasting,Drip,Canal,21,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Drilling,Sprinkler,Canal,20,Rabi
Stressed,Maize,Adilabad,Wheat,Soybean,Seed Drilling,Sprinkler,Groundwater,23,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Seed Drilling,Drip,Canal,24,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Seed Drilling,Drip,Canal,23,Rabi
Healthy,Maize,Adilabad,Soybean,Wheat,Broadcasting,Drip,Groundwater,21,Rabi
Healthy,Maize,Adilabad,Wheat,Soybean,Broadcasting,Drip,Canal,23,Rabi
